"date....row.names.as.matrix.st.." "X6283.TW.Open" "X6283.TW.High" "X6283.TW.Low" "X6283.TW.Close" "X6283.TW.Volume" "X6283.TW.Adjusted" "mm" "ss1" "ss2" "ss3" "ss4"
"2014-05-21" 8.48001 8.48001 8.31003 8.31003 113800 15.2584 4.10608789587914 -17.0251558201629 -6.46245655849249 14.6746323502508 25.2373316119212
"2014-05-22" 8.32005 8.43001 8.31003 8.32005 73500 15.2768 4.12900533461342 -17.0022383814286 -6.43953911975821 14.697549788985 25.2602490506555
"2014-05-23" 8.32005 8.35006 8.24005 8.29004 174800 15.2217 4.15192277334769 -16.9793209426944 -6.41662168102393 14.7204672277193 25.2831664893898
"2014-05-26" 8.26003 8.26003 8.03004 8.07002 306000 14.8177 4.17484021208197 -16.9564035039601 -6.39370424228965 14.7433846664536 25.306083928124
"2014-05-27" 8.07002 8.63005 8.07002 8.63005 443800 15.846 4.19775765081625 -16.9334860652258 -6.37078680355538 14.7663021051879 25.3290013668583
"2014-05-28" 8.80002 8.98002 8.57003 8.60004 1030400 15.7909 4.22067508955053 -16.9105686264915 -6.3478693648211 14.7892195439222 25.3519188055926
"2014-05-29" 8.50005 8.61001 8.4 8.49003 228700 15.5889 4.24359252828481 -16.8876511877573 -6.32495192608682 14.8121369826564 25.3748362443269
"2014-05-30" 8.50005 8.59002 8.50005 8.50005 120300 15.6073 4.26650996701909 -16.864733749023 -6.30203448735254 14.8350544213907 25.3977536830612
"2014-06-02" 8.50005 8.50005 8.50005 8.50005 0 15.6073 4.28942740575337 -16.8418163102887 -6.27911704861826 14.857971860125 25.4206711217954
"2014-06-03" 8.50005 8.60004 8.4 8.41002 137700 15.442 4.31234484448764 -16.8188988715544 -6.25619960988398 14.8808892988593 25.4435885605297
"2014-06-04" 8.41002 8.59002 8.41002 8.43001 162800 15.4787 4.33526228322192 -16.7959814328201 -6.23328217114971 14.9038067375936 25.466505999264
"2014-06-05" 8.51001 8.56001 8.50005 8.53 190600 15.6623 4.3581797219562 -16.7730639940859 -6.21036473241543 14.9267241763278 25.4894234379983
"2014-06-06" 8.52003 8.88003 8.52003 8.75003 447100 16.0663 4.38109716069048 -16.7501465553516 -6.18744729368115 14.9496416150621 25.5123408767325
"2014-06-09" 9.10006 9.36006 8.90002 9.36006 690500 17.1864 4.40401459942476 -16.7272291166173 -6.16452985494687 14.9725590537964 25.5352583154668
"2014-06-10" 9.34001 9.34001 9.00001 9.03002 509700 16.5804 4.42693203815904 -16.704311677883 -6.14161241621259 14.9954764925307 25.5581757542011
"2014-06-11" 8.90002 8.99004 8.71005 8.80002 263500 16.1581 4.44984947689332 -16.6813942391487 -6.11869497747831 15.0183939312649 25.5810931929354
"2014-06-12" 8.75003 9.08001 8.75003 8.95001 263000 16.4335 4.47276691562759 -16.6584768004145 -6.09577753874403 15.0413113699992 25.6040106316697
"2014-06-13" 8.95001 8.95001 8.83003 8.86004 136600 16.2683 4.49568435436187 -16.6355593616802 -6.07286010000976 15.0642288087335 25.6269280704039
"2014-06-16" 8.86004 9.00001 8.86004 8.93002 152400 16.3968 4.51860179309615 -16.6126419229459 -6.04994266127548 15.0871462474678 25.6498455091382
"2014-06-17" 9.18006 9.18006 8.98002 9.00001 204200 16.5253 4.54151923183043 -16.5897244842116 -6.0270252225412 15.1100636862021 25.6727629478725
"2014-06-18" 9.00001 9.16002 8.93002 9.03002 375200 16.5804 4.56443667056471 -16.5668070454774 -6.00410778380692 15.1329811249363 25.6956803866068
"2014-06-19" 9.03002 9.10006 9.01003 9.05 109400 16.6171 4.58735410929899 -16.5438896067431 -5.98119034507264 15.1558985636706 25.7185978253411
"2014-06-20" 9.05 9.09003 8.82001 8.90002 144300 16.3417 4.61027154803327 -16.5209721680088 -5.95827290633836 15.1788160024049 25.7415152640753
"2014-06-23" 8.90002 8.92006 8.60004 8.60004 481400 15.7909 4.63318898676754 -16.4980547292745 -5.93535546760408 15.2017334411392 25.7644327028096
"2014-06-24" 8.60004 8.67002 8.55004 8.59002 139900 15.7725 4.65610642550182 -16.4751372905402 -5.9124380288698 15.2246508798735 25.7873501415439
"2014-06-25" 8.59002 8.71005 8.59002 8.68004 114900 15.9378 4.6790238642361 -16.452219851806 -5.88952059013553 15.2475683186077 25.8102675802782
"2014-06-26" 8.68004 8.76005 8.68004 8.73004 126800 16.0296 4.70194130297038 -16.4293024130717 -5.86660315140125 15.270485757342 25.8331850190124
"2014-06-27" 8.73004 8.89005 8.73004 8.75003 101800 16.0663 4.72485874170466 -16.4063849743374 -5.84368571266697 15.2934031960763 25.8561024577467
"2014-06-30" 8.75003 8.93002 8.67002 8.89005 180200 16.3234 4.74777618043894 -16.3834675356031 -5.82076827393269 15.3163206348106 25.879019896481
"2014-07-01" 8.86004 8.90002 8.81005 8.81005 172000 16.1765 4.77069361917322 -16.3605500968688 -5.79785083519841 15.3392380735448 25.9019373352153
"2014-07-02" 8.81005 8.81005 8.66 8.67002 186200 15.9194 4.79361105790749 -16.3376326581346 -5.77493339646413 15.3621555122791 25.9248547739496
"2014-07-03" 8.60004 8.63005 8.58005 8.60004 166600 15.7909 4.81652849664177 -16.3147152194003 -5.75201595772985 15.3850729510134 25.9477722126838
"2014-07-04" 8.69001 8.70003 8.58005 8.58005 150300 15.7542 4.83944593537605 -16.291797780666 -5.72909851899558 15.4079903897477 25.9706896514181
"2014-07-07" 8.58005 8.69001 8.50005 8.52003 160600 15.644 4.86236337411033 -16.2688803419317 -5.7061810802613 15.430907828482 25.9936070901524
"2014-07-08" 8.52003 8.52003 8.31003 8.42004 333800 15.4604 4.88528081284461 -16.2459629031975 -5.68326364152702 15.4538252672162 26.0165245288867
"2014-07-09" 8.4 8.48001 8.36003 8.37005 155200 15.3686 4.90819825157889 -16.2230454644632 -5.66034620279274 15.4767427059505 26.039441967621
"2014-07-10" 8.39003 8.46002 8.37005 8.4 195500 15.4236 4.93111569031317 -16.2001280257289 -5.63742876405846 15.4996601446848 26.0623594063552
"2014-07-11" 8.4 8.4 8.08004 8.08004 326700 14.8361 4.95403312904744 -16.1772105869946 -5.61451132532418 15.5225775834191 26.0852768450895
"2014-07-14" 8.10002 8.10002 7.97002 8.01005 203100 14.7076 4.97695056778172 -16.1542931482603 -5.59159388658991 15.5454950221534 26.1081942838238
